headline,author,time,content
富邦媒布局綠色物流 (圖),The Central News Agency 中央通訊社,2023-01-03T06:58:47.000Z,"momo富邦媒（8454）旗下富昇物流攜手蓋亞汽車推出momo電動三輪車，將最後一哩路的物流運輸納入綠色物流行動。（富邦媒提供）
中央社記者江明晏傳真 112年1月3日"
盤中速報 - 富邦媒(8454)股價大漲至747.0元，漲幅達7.02%,鉅亨網新聞中心,2023-01-05T01:13:57.000Z,"富邦媒(8454-TW)05日09:13股價上漲49元，報747.0元，漲幅7.02%，成交651張。
富邦媒(8454-TW)所屬產業為貿易百貨業，主要業務為一般商品批發零售業。
近5日股價上漲5.44%，台灣加權指數上漲0.18%，股價漲幅表現優於大盤。
近5日籌碼
三大法人合計買賣超：+1,026 張
外資買賣超：+373 張
投信買賣超：+583 張
自營商買賣超：+70 張
融資增減：-62 張
融券增減：+12 張
最新相關新聞
盤中速報 - 富邦媒(8454)急拉3.2%報741.0元，成交593張
盤中速報 - 富邦媒(8454)急拉2.11%報674.0元，成交274張
富邦媒布局短鏈綠色物流 建置電動三輪車隊
【產業概觀】原料藥是什麼？國內外銷年破千萬美元公司一覽；經營策略一次看
N倍券來了 刺激內需市場 ?
更多鉅亨報導"
盤中速報 - 富邦媒(8454)急拉3.2%報741.0元，成交593張,鉅亨網新聞中心,2023-01-05T01:13:25.000Z,"富邦媒(8454-TW)近5分K漲速3.2%，05日09:13報741.0元，成交593張。（註：漲跌速為5分K的漲跌幅）
富邦媒(8454-TW)近5日股價上漲5.44%，所屬產業為貿易百貨業，相關百貨貿易類指數上漲0.52%。台灣加權指數上漲0.18%，股價漲幅表現優於大盤。
近5日籌碼
三大法人合計買賣超：+1,026 張
外資買賣超：+373 張
投信買賣超：+583 張
自營商買賣超：+70 張
融資增減：-62 張
融券增減：+12 張
最新相關新聞
盤中速報 - 富邦媒(8454)急拉2.11%報674.0元，成交274張
富邦媒布局短鏈綠色物流 建置電動三輪車隊
【產業概觀】原料藥是什麼？國內外銷年破千萬美元公司一覽；經營策略一次看
N倍券來了 刺激內需市場 ?
富邦媒發布2022網購趨勢 三大消費主軸出列
更多鉅亨報導"
《台北股市》盤中焦點股：富邦媒、台積電、美而快、士電、晶相光,時報資訊,2023-01-05T02:01:15.000Z,"【時報-台北電】盤中焦點股：
1.富邦媒(8454)：春節購物旺季+年後國民普發6000元大紅包有利內需消費暢旺，激勵股價強漲逾7%，領漲百貨股。
2.台積電(2330)：昨夜ADR隨費半指數大漲3.1%，收76.32美元，較台北交易溢價擴大至4.2%，帶動盤初股價跟漲約2%、躍過5日線，收復巴菲特防線。
3.美而快(5321)：電商擁還稅紅包利多，今早亮燈漲停，站上半年線。
4.士電(1503)：綠能、再生能源政策議題發酵，早盤攻頂登波段新高。
5.晶相光(3530)：2022年12月受惠客戶急單，營收創半年以來新高。低檔買盤力挺股價攻頂。
6.宅配通(2642)：農曆年後將普發每人6000元現金，可望受惠網購等需求增加，股價大漲逾8%。
7.建通(2460)：今年營收、毛利率、獲利皆看成長，量能增溫、盤整結束，盤初急拉漲停。
8.和泰車(2207)：去年小型車、豪華車、大型商用車、共享車業績均稱霸台灣市場，風光達成「大四喜」，盤初續漲慶歡。
9.南亞科(2408)：10日法說在即，三大法人連兩日攜手買超卡位，盤初股價續漲逾2.5%，叩關季線。
10.威剛(3260)：CES展揭幕，電子股人氣回升，昨外資轉買超184張，盤初股價強漲逾3.5%，躍過季線、收復60關。
11.世界(5347)：CES概念股輪動+外資、投信連兩日買超，盤初股價續漲近3.5%，衝過月線。
12.六暉-KY(2115)：昨終於掙脫短均糾結，盤初量增價漲逾5%，寫近3個半月高價。
13.國巨(2327)：合併歐洲廠營運進補，外資、投信連2買，早盤攻高2%突破所有短均。
14.鴻海(2317)：攜手英偉達開展自動駕駛控制平台，三探98元有守，多方反攻，先拚回5日線。
15.台泥(1101)：斥資10億買回2萬張庫藏股，多方獲銀彈，攻高2%拿回5日線、月線。
16.宏達電(2498)：CES展登場，元宇宙概念股來電，日K連3紅，觸及60元波段高。
17.仲琦(2419)：2022營收大三元，今年展望仍樂觀，今日衝高遇壓翻黑，力保半年線。
18.玉晶光(3406)：蘋果新款VR頭戴裝置傳好事將近，營運可望吃補，晨盤一度走揚近2%，再登月線。
19.牧德(3563)：去年12月營收月增近二成，急拉大漲半根停板，月線及半年線雙收。
20.晶呈科技(4768)：入主台灣芯電，跨入濕式化學品，聞訊走揚2.5%，拚戰160元。
21.眾達-KY(4977)：今日舉行股東會，無懼外資偏空操作，放量彈升2%，力守百元及月線。
22.八貫(1342)：去年12月營收2.54億元、年增6.75%，今早拉半根漲停後壓回。
23.東碩(3272)：印度宣布採用Type-C，帶動早盤股價續揚。
24.長榮(2603)：去年前3季獲利提前超車去年全年，農曆年迎小旺月，股價隨台股反攻。
25.慧洋-KY(2637)：波羅的海乾散裝綜合指數(BDI)續跌5.9%，但股價漸回穩。
26.聯發科(2454)：亞系外資示警2023年半導體，將該股評等調降到賣出，股價走跌。
27.創意(3443)：去年第四季業績續旺，但美系外資指數據中心需求正減弱，調降評等至「中立」，目標價調高至700元，股價開高走低。
(編輯：李慧蘭)"
富邦媒宣布「momo卡」5%回饋無上限福利延長,自立晚報,2023-01-04T17:15:25.000Z,"【記者謝政儒綜合報導】迎接2023新的一年，台灣線上零售業龍頭富邦媒(8454)搶先祭出好消息，網購神卡「momo卡」5%回饋無上限福利再延長，2023年第一季於momo消費享筆筆5% momo幣回饋無上限，指定精選品牌更享最高10% momo幣回饋無上限。不僅如此，隨著海外旅遊需求逐漸回溫，momo卡再加足馬力衝刺「海外回饋」，6月底前海外旅遊安排刷momo卡最高享10%回饋。「momo卡」穩居市場第一大電商聯名卡，上市至今累積發卡量已逾80萬張，2022年卡友客單價更較全站平均客單價高出1.2倍，可見其卡友專屬的筆筆高回饋率，以及即辦即用的便利體驗，不僅持續吸引許多新卡友加入「刷手」行列，更深受資深momo粉絲的喜愛。為感謝卡友長期的支持，並帶給會員不間斷的購物優惠，2023年第一季momo卡將維持「momo通路消費5%回饋無上限」福利。即日起至3月31日，凡消費者於momo通路結帳時選擇使用momo卡，筆筆享有5% momo幣回饋無上限，各類3C家電及生活用品等指定精選品牌，更享最高10% momo幣回饋無上限，實現「買越多賺越多」的購物情境。值此歲末年終之際，momo卡更加碼「迎春限定200元回饋」，1月31日前每週六於momo消費刷momo卡，累積消費滿3,000元即享回饋200元，加計精選品牌回饋將直衝16%，就是要讓會員優惠辦年貨、開心過好節。除在momo消費筆筆享回饋，隨著海外旅遊需求逐漸回溫，2023年momo卡更帶給消費者驚艷有感的「海外最高10%回饋」，包含6月底前於海外通路消費刷momo卡可享最高5%回饋、指定航空公司刷momo卡享最高10%回饋，以及六大指定旅行社刷momo卡最高5%回饋，只要一張momo卡在手，國內海外回饋都超有感。(2023/1/4)"
《百貨股》砸63億 富邦媒 自建中區物流中心,時報資訊,2023-01-08T04:38:55.000Z,"【時報-台北電】富邦媒（8454）重砸63億元自建中區物流中心！富邦媒董事會已於6日決議，通過規劃自建中區物流中心「倉儲建物」案，預計2023年投資約63億元，高居國內單一物流中心投資規模之冠，另外，還要投資12.7億元採購倉儲設備。
富邦媒董事會並通過2023年富邦媒及子公司多項資本支出計畫，包括物流中心建置、倉儲營運設備、資訊設備及配送車隊建置等經費，合計約68.3億元。
至於中區物流中心建倉所需土地，已於2021年9月3日經董事會決議購入，投資13.2億元購置彰化縣和美鎮總面積9,786.2坪土地，準備推動中部縣市當日配送到家的服務。
為配合業務發展需求，富邦媒近幾年積極興建物流中心，2017～2022年資本支出中，建置物流中心的資本支出合計達78.6億元，加計2023年興建中區物流中心，七年之間投資總規模將逾140億元，高居國內電商業之冠 。
這其中，包括斥資41億元在桃園青埔興建北區自動化物流中心並於2017年啟用，投資30億元的南區儲配運輸物流中心預計2023年加入營運行列，這次中區物流中心的投資規模更是momo歷年來最大規模，完工後，也確立富邦媒全省物流體系更加完備。
富邦媒全省倉儲2022年底擴增至69座，另外已成立了物流公司富昇物流，目前富昇自營物流車隊平時配送量占公司總配送量約24％、配送高峰期占比約20％，2022年自營車隊與2021年相比已擴增了70％～80％。由於物流配送體系完善，富邦媒已將五小時到貨服務從雙北縣市擴大至其它縣市，2022年並在雙北率先導入三小時到貨服務，加速衝刺短鏈物流佈建。
富邦媒2022年前11個月累計合併營收約938.8億元，已超越2021年全年884億元水準，年增16.8％，2022年全年合併營收將於近日公布，估將突破千億元可期。(新聞來源 : 工商時報一林淑惠／台北報導)"
《百貨股》政府發6千元添動能 外資上調富邦媒目標價,時報資訊,2023-01-09T09:42:39.000Z,"【時報記者張漢綺台北報導】台灣即將在農曆年後普發現金，為內需市場復甦加把勁，亦為富邦媒(8454)營運挹注動能，歐系外資最新報告上調富邦媒2023年及2024年每股盈餘，目標價也上調至860元，激勵富邦媒今天股價收高。
防疫政策全面解禁後，台灣內需市場快速增溫，加上農曆年後政府將普發現金每人6000元，為民間消費再添柴火，市場看好富邦媒可望受惠於內需市場復甦，歐系外資今天最新報告也上調富邦媒的每股盈餘及目標價。
歐系外資最新報告上調富邦媒2023年及2024年每股盈餘7%到19%，給予「優於大盤表現」評等，目標價由700元上調至860元，不過今天外資站在賣方，累計3個交易日共賣超153張。"
熱門股：富邦媒(8454)、光罩(2338)、聯發科(2454)、精剛(1584)、上緯(3708),財訊快報,2023-01-11T02:44:27.000Z,富邦媒(8454)：2022全年營收破千億大關，首季也將受惠政府普發現金政策，早盤股價勁揚近7%，站回年線之上。 光罩(2338)：新開案量增加逆勢追加資本支出，半導體光罩需求增，帶動2022全年合併營收創新高，早盤量增價揚，漲幅維持3%左右。 聯發科(2454)：消費電子疲弱下，2022年營收仍突破5000億大關及市場期待第一季陸系5G手機將出現補庫存潮，早盤股價帶量上漲逾1%。 精剛(1584)：全球油氣產業、國防及航太工業需求增溫，帶動鎳基合金、鈦合金接單暢旺，2022全年、單月、第四季營收均創歷史新高，2023年接單亦樂觀，早盤一度觸及漲停，股價站回所有均線之上。 上緯投控(3708)：可望受惠中國解封後的風電裝機數提升及切入國際新客戶，今年營收有望回升，早盤勁揚約3%，往年線挺進。(周佳蓉)
焦點股：12月營收創同期新高，富邦媒股價強勢重返年線,財訊快報,2023-01-11T02:41:49.000Z,"【財訊快報／研究員吳禹潼】國內電商龍頭富邦媒(8454)持續搶攻市占率的策略奏效，去年第三季，雖然線上零售在高基期及疫後實體零售強勁復甦下成長放緩，但富邦媒仍以高水準的營收成長率穩坐冠軍寶座。 12月以來，受惠今年農曆春節較早，年節商機已陸續顯現，包括年節食品、清潔掃除商品、旅遊行程和住宿票券等皆有相當亮眼的銷售表現，同時，12月因寒流報到全台有感降溫，保暖衣物、保暖家電和保暖小物等買氣也是相對強勁。日前公告2022年12月營收為95.6億元，年增達19.3%，創下歷史同期新高，帶動去年全年累計營收達1,034.4億元，年增17%，創下台灣電商千億營收新里程碑。 技術面部分，股價近日緩步走揚，今日早盤大漲超過5%，重返年線之上，若量能能夠連續性放大，搭配技術指標日KD交叉向上，有利多方續強。"
春節倒數計時 富邦媒:伴手禮買氣狂飆150％,林淑惠/台北報導,2023-01-12T05:38:58.000Z,"春節訪親拜年必備伴手禮，富邦媒（8454）春節送禮商機狂飆，旗下momo購物網12月至今美食伴手禮盒銷售年增衝破150％，保健禮盒也成長逾50％。
momo同時針對「走春拜年必選伴手禮」進行網友票選大調查（總留言數約2,900則），發現今年「健康送禮」成顯學，保健禮盒（37％）、雞精／滴雞精禮盒（31％）人氣爆棚，進口水果、零食餅乾、茶葉飲品等禮盒也被許多網友點名好評。
國人重視日常健康防護，加上網購保健成消費新日常，「保健禮盒」被網友欽點為今年春節送禮必殺技，更釣出家中長輩親戚成群的網友表示「長輩接受度很高」、「送健康給長輩最實在」。
momo進一步根據銷售觀察，春節前夕尤以人蔘、燕窩、靈芝等「漢方食補保健禮盒」點擊及買氣激增，高端大氣更能讓收禮者感受到誠摯的關懷與祝願，隨養生觀念加深，「減糖或無糖」配方也列入消費者選購重點，像是近一個月即狂銷超過120,000瓶的「桂格」無糖養氣人蔘滋補液、低卡清甜0負擔的「廣生堂」君燕幸福燕窩飲皆展現超高人氣。
日常保健「雞精/滴雞精」也榜上有名，挾便利即飲、營養補給的特點亦成為網友力推的春節送禮好選擇。momo分享站上「健字號抗疲勞認證」商品晉升人氣選擇，像是近一個月熱銷近130,000瓶的「白蘭氏」雙認證雞精、藝人網友愛用的「田原香」冷凍滴雞精等。
雞精/滴雞精種類繁多，如何下手？momo分享選購小撇步，消費者可根據不同送禮對象的年齡或需求，選擇添加人蔘、黑棗、黃耆等不同成份的商品，滿足保健需求更有感。
美觀體面且各年齡層都喜歡的「水果禮盒」也被網友力捧為不踩雷絕佳好禮。值此農曆春節送禮置辦高峰期，momo「進口高級水果禮盒」掀起一波熱購潮，外觀紅潤喜氣的日本蘋果、日本草莓、空運櫻桃等皆是送禮人氣王，不只年味十足又大氣美觀。除此之外，具「吉祥含意」的水果另有一席之地，最能將滿滿祝福連同禮盒一起帶給收禮人，像是寓意大吉大利的橘子、象徵年年好的棗子等。
俗話說吃甜甜好過年，團員拜年送上「零食糖果禮盒」收禮人一定能感受到祝福之意。今年momo站上零食禮盒展現出兩大熱銷趨勢，其中「進口零食禮盒」以高質感、春節限定、出國必買款取勝，常年不敗「紅帽子」紅帽禮盒單日最高銷破2,000盒，麻將造型發財禮盒的香港美心也很吸引買氣，「國產零食禮盒」則在口味上大展傳統年味的魅力，牛軋糖、娃娃蘇、包餡蛋捲、堅果等都很熱賣。
年節訪親少不了閒話家常，致贈「茶葉飲品禮盒」一解口乾舌燥再適合不過，許多網友也讚譽茶飲是年節親友團聚不可或缺的金牌配角，紛紛表示「過年大魚大肉吃多後可以喝杯茶解油膩」、「春節大家都送糖果餅乾、零食糕點，這時泡個茶來配就更完美了」。momo進一步根據銷售觀察，除指標中式品牌推出的春節限定禮盒大獲青睞，精美的西式與有機茶品也嶄露頭角，養生風氣則帶動「養生飲品禮盒」成另一大送禮選擇，如銀耳露、果醋、進口果汁原汁等飲品皆別有一番風味。
瞄準年前伴手禮採買潮持續高漲，momo動員《美食年貨節》與《好禮兔U》兩大活動。美食年貨節集結零食、茶葉、水果、滴雞精、傳統糕餅等各式美食伴手禮盒下殺限時優惠，再加碼好康回饋，包含美食75折起神券免費領、指定美食刷momo卡10％回饋無上限、滿額登記抽北海道干貝禮盒、滿額免登記抽8,888元momo幣等。好禮兔U活動則網羅保健食品禮盒5折起，機能保健、雞精、燕窩、養顏等禮盒一應俱全。
更多中時新聞網報導美前財長：低利率恐回不去了 學者爆雷：台灣夾在美中 下場恐比俄烏戰更恐怖正中炒房團要害、投資客不願再上車？為何這次修法被視為深水炸彈台積電有危險？南韓放話「追殺」最強3奈米1關鍵決生死"
