Unnamed: 0,date,stock_id,link,source,title,is_similar
0,2023-03-08 08:00:00,6125,https://news.cnyes.com/news/id/5109719,Anue鉅亨,廣運:代重要子公司金運科技股份有限公司公告董事會決議召開112年度股東常會 - Anue鉅亨,0
1,2023-03-09 06:44:00,6125,https://news.cnyes.com/news/id/5109719,Anue鉅亨,廣運:代重要子公司金運科技股份有限公司公告董事會決議召開112年度股東常會 - Anue鉅亨,1
2,2023-03-09 06:44:00,6125,https://news.cnyes.com/news/id/5109719,Anue鉅亨,廣運:代重要子公司金運科技股份有限公司公告董事會決議召開112 ... - Anue鉅亨,1
3,2023-03-10 08:00:00,6125,https://news.cnyes.com/news/id/5113102,Anue鉅亨,"廣運:公告董事會決議資金貸與子公司-廣運機電(蘇州)有限公司人民幣6,000萬元案。 - Anue鉅亨",0
4,2023-03-10 08:00:00,6125,https://news.cnyes.com/news/id/5112311,Anue鉅亨,廣運:公告本公司董事會通過111年度合併財務報告 - Anue鉅亨,0
5,2023-03-10 08:00:00,6125,https://news.cnyes.com/news/id/5112312,Anue鉅亨,廣運:公告董事會決議112年度股東常會召開日期 - Anue鉅亨,0
6,2023-03-10 08:00:00,6125,https://news.cnyes.com/news/id/5113103,Anue鉅亨,廣運:公告董事會決議股利分派 - Anue鉅亨,0
7,2023-03-10 08:08:52,6125,https://news.cnyes.com/news/id/5112312,Anue鉅亨,廣運:公告董事會決議112年度股東常會召開日期 - Anue鉅亨,1
8,2023-03-10 08:10:22,6125,https://news.cnyes.com/news/id/5112311,Anue鉅亨,廣運:公告本公司董事會通過111年度合併財務報告 - Anue鉅亨,1
9,2023-03-10 08:23:07,6125,https://news.cnyes.com/news/id/5113102,Anue鉅亨,"廣運:公告董事會決議資金貸與子公司-廣運機電(蘇州)有限公司人民幣6,000萬元案。 - Anue鉅亨",1
10,2023-03-10 08:40:24,6125,https://news.cnyes.com/news/id/5113103,Anue鉅亨,廣運:公告董事會決議股利分派 - Anue鉅亨,1
11,2023-03-14 07:00:00,6125,https://tw.stock.yahoo.com/news/%E7%84%A6%E9%BB%9E%E8%82%A1-%E5%BB%A3%E9%81%8B%E8%BD%89%E7%9B%88%E5%A4%A7%E6%96%B9%E9%85%8D%E8%82%A1%E5%88%A,Yahoo奇摩股市,〈焦點股〉廣運轉盈大方配股利1.62元今爆萬張大量衝半年高價 - Yahoo奇摩股市,0
12,2023-03-14 07:00:00,6125,https://news.cnyes.com/news/id/5115475,Anue鉅亨,〈焦點股〉廣運轉盈大方配股利1.62元 今爆萬張大量衝半年高價 - Anue鉅亨,1
13,2023-03-14 07:00:00,6125,https://tw.stock.yahoo.com/news/%E7%84%A6%E9%BB%9E%E8%82%A1-%E5%BB%A3%E9%81%8B%E8%BD%89%E7%9B%88%E5%A4%A7%E6%96%B9%E9%85%8D%E8%82%A1%E5%88%A,Yahoo奇摩股市,〈焦點股〉廣運轉盈大方配股利1.62元 今爆萬張大量衝半年高價 - Yahoo奇摩股市,1
14,2023-03-15 03:56:34,6125,https://m.cnyes.com/news/id/5115475,鉅亨,〈焦點股〉廣運轉盈大方配股利1.62元 今爆萬張大量衝半年高價 - 鉅亨,1
15,2023-03-15 03:56:34,6125,https://news.cnyes.com/news/id/5115475,Anue鉅亨,〈焦點股〉廣運轉盈大方配股利1.62元 今爆萬張大量衝半年高價 - Anue鉅亨,1
