headline,author,time,content
鉅亨速報 - Factset 最新調查：建準(2421-TW)目標價調降至48元，幅度約4%,鉅亨網新聞中心,2023-01-20T09:10:20.000Z,"根據FactSet最新調查，共6位分析師，對建準(2421-TW)提出目標價估值：中位數由50元下修至48元，調降幅度4%。其中最高估值56元，最低估值40元。
綜合評級 - 共有6位分析師給予建準(2421-TW)評價：積極樂觀4位、保持中立2位、保守悲觀0位。
建準(2421-TW)今(17日)收盤價為41.35元。近5日股價上漲0%，相關電子零組件類指數近5日上漲0.76%，台灣加權指數上漲1.37%，短期股價無明顯表現。
最新相關新聞
鷹派政策下的操作策略，就看「法人與集團作帳行情」之潛力股
投信近5日買超個股
投信近3日買超個股
盤中速報 - 電子零組件類指數類股表現疲軟，跌幅2.05%，總成交額153.24億
好想贏韓國！台股找回失去的位階
資料來源：Factset，數據僅供參考，不作為投資建議。
更多鉅亨報導"
《電子零件》建準擬配息2.6元,時報資訊,2023-03-09T08:04:32.000Z,【時報-台北電】建準(2421)公告董事會決議股利分派，111年度盈餘分配之現金股利每股2.6元。（編輯：沈培華）
盤中速報 - 建準(2421)股價大漲至56.2元，漲幅達7.05%,鉅亨網新聞中心,2023-05-04T04:52:06.000Z,"建準(2421-TW)04日12:52股價上漲3.7元，報56.2元，漲幅7.05%，成交10,316張。
建準(2421-TW)所屬產業為電子零組件業，主要業務為電子零組件製造業,其他電機及電子機械器材製造業,機械設備製造業。發電,輸電,配電機械製造業,電器及視聽電子產品製造業,國際貿易業。除許可業務外，得經營法令非禁止或限制之業務。
近5日股價上漲0%，台灣加權指數上漲1.16%，短期股價無明顯表現。
近5日籌碼
三大法人合計買賣超：-329 張
外資買賣超：+1,004 張
投信買賣超：-1,600 張
自營商買賣超：+267 張
融資增減：-6 張
融券增減：+19 張
最新相關新聞
〈台股盤後〉中小股可用之兵仍多 量縮守住紅盤
〈台股盤後〉多頭動能熱 助攻中小股逾20檔漲停
連假後關注焦點：伺服器
惠珊伺服器投資池︰樺漢、建準、營邦、普安
AI大商機 新一輪的半導體、資安股牛市將展開
更多鉅亨報導"
焦點股：營運動能明顯增溫，建準股價帶量翻揚,財訊快報,2023-05-04T02:53:40.000Z,【財訊快報／研究員吳禹潼】散熱風扇大廠建準(2421)受惠於網通、新能源、車用等訂單需求增溫，加上IT產品也出現回補庫存，營運動能迎來明顯增溫，其中，網通業務受惠於400G的交換器與Wi-Fi 6升級需求，可望持續成長；車用風扇則因在汽車/電動車市場的滲透率持續提升之下，成長能見度高，市場看好，隨著晶片耗能提升，加上AI伺服器需求備受市場關注，帶動散熱風扇需求用量將逐步提升，除了顆數、尺寸等都將放大，對於風扇的ASP也將隨之帶動，增加未來營運動能。技術面部分，股價帶量走揚，目前所有均線呈多頭排列，且日KD向上，若能搭配量能放大，則有利多方續強挑戰前高56.8元。
《電子零件》建準Q1每股盈餘1.11元,時報資訊,2023-05-04T07:11:22.000Z,【時報-台北電】建準(2421)公布112年第1季財務報告：營業收入30.75億元，稅前淨利3.64億元，本期淨利2.77億元，歸屬於母公司業主淨利2.77億元，基本每股盈餘1.11元。(編輯：龍彩霖)
《台北股市》盤中焦點股：建準、華新科、雙鴻、智易、六角、信昌電,時報資訊,2023-05-05T02:12:01.000Z,"【時報-台北電】盤中焦點股：
1.建準(2421)：大摩看好散熱供應鏈，三大法人昨日買超3124張，鎖住漲停板。
2.華新科(2492)：首季EPS 0.57元，庫存轉趨健康，動能增溫，拉高半根漲停板，企圖拚百元。
3.雙鴻(3324)：散熱題材今日最夯，外資連2日買超合計1769張，早盤大漲近6%。
4.智易(3596)：Q1三率三升、EPS高掛2.25元，營收、獲利皆創同期高，盤初走強6%，一舉收下月線及半年線。
5.六角(2732)：氣溫炎熱，飲料旺季到，法人估今年日出茶太全球門店數量增20～30％，帶量衝高8%，追平前高198元。
6.信昌電(6173)：Q1稅後純益1.5億元，較前季轉盈，多方歡慶，迎漲停板。
7.昇貿(3305)：低溫錫膏出貨旺，毛利率看增，無懼外資調節，一度漲近4%，回到5字頭。
8.金益鼎(8390)：國際金價上漲，早盤股價同步反映，漲逾6.5%。
9.鈊象(3293)：4月營收11.5億元，月增3%、年增17.6%，再創新高，而首季每股純益10.24元，大賺逾1個股本，盤初股價續漲慶祝。
10.華邦電(2344)：SK海力士恐逆勢調高21nm舊製程產能，加深消費型DRAM供給面疑慮，盤初股價摔落季線。
11.台積電(2330)：昨夜ADR彈升0.96%+蘋果財報優預期，盤初股價同步收復500關、5日線。
12.中鴻(2014)：首季稅後純益3.94億元，EPS 0.28元，擺脫去年全年每股淨損0.69元的低潮，今早不甩昨外資賣超1470張，股價走高收復5日線。
13.車王電(1533)：積極搶攻海內外電巴市場，3月、首季營收亮眼，股價連跌4日後，盤初彈升逾3%，拿回5日線。
14.百達-KY(2236)：首營稅後純益0.32億元、年增33.33％，每股純益0.7元，樂觀今年業績至少成長2成，但漲多賣壓緊咬，盤初帶量下殺逾5%，跌破40關。
15.凱美(2375)：66元打底多日，一早買單急入，大漲5%躍過70元，回到4月底的起跌點。
16.欣陸(3703)：5月8日法說會，股價7連拉，早盤登2個月來新高。
17.和康生(1783)：4月營收年增32.68%，股價走揚。
18.承業醫(4164)：跨足特殊寵物領域，股價揚升約3%，惟高檔有壓。
19.曜亞(4138)：醫美題材點火，股價一度逼近漲停，97元登逾8年半高。
20.邁達特(6112)：Q1獲利翻倍成長、EPS 1.17元，轉投資公司專攻AI，早盤高檔震盪、漲逾7%。
21.奇鋐(3017)：美系外資看好散熱產值，高喊目標價200元；三大法人昨回補4414張。早盤價量俱揚，觸183元改寫波段新高。
22.創意(3443)：前景看俏，外資評價雙升、喊上1280元，投信連6買，一度衝上1155元、逾1個月高。
23.祥碩(5269)：H2迎拉貨潮，營運復甦可期，盤初震盪衝高3%，叩關五日線。
24.沛亨(6291)：Q1合併獲利8456萬元，每股賺2.01元，盤初快攻漲停後打開，漲幅收斂至4%附近。
25.亞航(2630)：全力搶攻無人機，軍工題材吸引外資連11買，盤初觸漲停，衝上34.55元高檔區。
26.義隆(2458)：首季EPS 1.08元季增五倍，Q2、Q3營收拚季季增，盤初觸101元，挺進月線。
27.台星科(3265)：Q1每股純益1.32元優預期，H2接單暢旺，甩外資連7賣包袱，帶量反彈，重登五日線及月線。
(編輯：李慧蘭)"
《熱門族群》大摩挺散熱 奇鋐飛上天、建準飆漲停,時報資訊,2023-05-05T02:48:06.000Z,"【時報-台北電】周四美股受累行業暴雷全面收黑，台股今日在權值股台積電(2330)挺進500關，聯發科(2454)回神反攻穩盤下，力戰季線關。電子股買氣稍升，散熱族群甩寒冬熱呼呼，奇鋐(3017)獲大摩升評鼓舞一度大漲逾4%，衝上天價183元，帶動建準(2421)亮燈漲停至61.6元，雙鴻(3324)、泰碩(3338)、尼得科超眾(6230)盤中大漲5%，力致(3483)、協禧(3071)緊跟在後，整體表現相對大盤強勁。
散熱族群去年受累PC需求衰退、今年上半年又因伺服器出貨疲軟衝擊，過去一年營收成長與股價表現普遍受壓抑。隨大摩近期提出PC產業底部浮現，伺服器下半年至2024年逐步加溫，對散熱族群看法開始轉趨樂觀。摩根士丹利證券最看好升評為「優於大盤」的奇鋐，推測合理股價調高為200元，激勵近期獲投信連6買相挺，早盤大漲逾4%衝上天價183元後遭調節，漲勢略為收斂。
伺服器散熱解決方案升級將為散熱解決方案廠商關鍵動能，雙鴻(3324)亦獲大摩升評至「中立」，推測合理股價從115元調高到260元倍增，在外資連2買點火下，今日放量強彈5%至250元，站上各短均線。
建準(2421)甫公布第一季合併獲利2.78億元，每股賺1.11元，也獲大摩「中立」投資評等，推測合理股價由40元升至58元，三大法人昨日聯手買超3124張，在股價相對散熱族群親民下，晨間快攻鎖漲停，站上2年半高峰。
美系外資出具最新報告指出，看好散熱產業今年產值仍可望年增13％，明年增幅更將放大至29％。隨著台北國際電腦展月底盛大展開，包括輝達創辦人黃仁勳等大咖雲集，可望拉抬下半年PC買氣，伴隨AI、伺服器升級等題材，有利相關股價表現，而AI、伺服器、高效能運算（HPC）對散熱需求大幅提升，帶起硬體需求，散熱模組大廠雙鴻（3324）、奇鋐（3017）營運受惠可期，下半年成長力道帶勁。(編輯：龍彩霖)"
熱門股：邁達特(6112)、建準(2421)、智易(3596)、國巨(2327)、嘉澤(3533),財訊快報,2023-05-05T03:19:12.000Z,邁達特(6112)：第一季獲利翻倍成長，持續耕耘雲服務、AI運算，三大公有雲布局均有切入。早盤一度逼近漲停板，最高來到57.5元。建準(2421)：Q2有AI FAN專案帶動400G交換器風扇ASP提升、Q3有ADAS新專案貢獻，且被外資點名將有望切入AI伺服器散熱商機，早盤攻上漲停板，來到61.6元。智易(3596)：5G FWA與Wi-Fi 6/6E升級趨勢不變，Q1財報毛利率、營益率和淨利率三率三升。早盤股價站上年線，最高來到109元。國巨(2327)：標準品價格回穩，第二季起稼動率亦止穩回升，特規品更高達70%。早盤開高走高，最高來到508元。嘉澤(3533)：有望納入MSCI成分股+AI伺服器市場連接元件潛力具商機。早盤站上所有均線，最高來到947元。(周佳蓉)
《電子零件》建準Q1每股EPS 1.11元優於預期 3外資看法不一,時報資訊,2023-05-05T03:45:41.000Z,"【時報記者張漢綺台北報導】散熱風扇廠建準(2421)第1季稅後盈餘為2.78億元，年增81.58%，每股盈餘為1.11元，優於市場預期，激勵今天盤中股價亮燈漲停，不過3家外資最新報告對建準看法不一，一家美系外資及日系外資分別調高建準目標價至63元及64元，另一家美系外資則給予58元目標價。
建準第1季合併營收為30.75億元，年減1.53%，受惠於產品組合優化，營業毛利為8.13億元，年增40.07%，合併毛利率為26.45%，年增7.85個百分點，營業淨利為3.47億元，年增1.69倍，營業淨利率為11.31%，年增7.17個百分點，稅後盈餘為2.78億元，年增81.58%，每股盈餘為1.11元。
由於建準第1季財報亮眼，激勵盤中股價亮燈漲停。
1家美系外資最新報告認為建準是伺服器/AI伺服器散熱頂尖供應商之一，建準可以提供液冷風扇及液冷系統，電信及伺服器產品約佔建準營收34%到35%，並可望因AI需求成長而增加，給予「建議買進」評等，目標價由56元上調至63元；日系外資最新報告將建準2023年到2024年每股盈餘上調14%到20%，以反應較好的毛利率及營運效率，給予「買進」評等，目標價由54元調升至64元。
另一家美系外資則相對保守，維持建準「中立」評等，目標價58元。"
建準 再創波段高點,鄭淑芳,2023-05-06T20:10:00.000Z,"建準（2421）首季稅後純益2.78億元，年增81.58％，換算EPS 1.11元，大勝去年同期的EPS 0.61元，表現優於市場預期，外資也即時錦上添花，相繼調高建準目標價至58～64元不等，也帶動建準5日股價撐竿跳，開盤才6分鐘，就直接以61.6元漲停板價漲停鎖死，再創波段新高，連帶周漲幅也跟進放大至17.11％。
散熱需求不斷擴增，建準擴廠進度也上緊發條，其中菲律賓新廠已進入量產，月產能上看130萬片，持續朝產能占比近5成邁進，產能期與既有的廣西廠互別苗頭。
更多工商時報報導養地怎麼認定？ 動工合理期間出爐美經濟重啟 Nike財報超預期明年Q4龍潭廠正式啟動"
安勤買盤動能強勁、建準車用需求旺 後市可期,鄭郁平／台北報導,2023-05-06T20:10:00.000Z,"台股5月首周收紅，摩爾投顧分析師張貽程認為，台股在全球投資情緒悲觀下仍可逆勢走揚，表現「及格」，建議投資人轉而關注近期突破壓力、頸線的「轉強弱勢股」，並留意新台幣匯率走勢。本周投資組合前兩大為安勤（3479）、建準（2421），再選入創意（3443）、世芯-KY（3661）與M31（6643）。
台股加權指數上周上漲46.89點，在全球投資人對5月行情態度悲觀，加上美股上周也連續多日收跌之際，台股仍能周線收紅，就5月首周的表現而言算是及格，也展現了十足的韌性，後續行情不容小覷。
美國聯準會（Fed）宣布升息1碼，市場認為將是升息循環的最後，美元指數上周頻頻往下，新台幣則是連三日升值，若新台幣的升值趨勢能形成，後續熱錢就有機會流入台股，成為指數進攻「萬六」的敲門磚。
籌碼方面，外資於台指期的部位不斷拉高，就過去經驗，外資常在期貨布完多單後開始買現貨拉動指數，故本周可特別留意新台幣匯率走勢，若出現升值，外資就有可能開始加碼買超現貨，使權值股、高價股出現追價買盤。
選股方面，台股在經歷4月底的無預警下殺後，電子紙、矽智財（IP）、ABF載板、IC設計等眾多族群股價都出現「先下後上」走勢，故現階段投資人應避免過度追高強勢族群，反倒可多關注弱勢股的回升，如近期開始突破壓力或頸線的績優股，而這也是投信自4月底來的主要操作邏輯。
更多工商時報報導豪宅、第三戶房貸 調高利率地板價衍生性商品成交確認平台明年上線台積電廠地 高市加速通關"
"盤中速報 - 建準(2421)急拉2.66%報65.5元，成交30,144張",鉅亨網新聞中心,2023-05-08T01:29:21.000Z,"建準(2421-TW)近5分K漲速2.66%，08日09:29報65.5元，成交30,144張。（註：漲跌速為5分K的漲跌幅）
建準(2421-TW)近5日股價上漲17.11%，所屬產業為電子零組件業，相關電子零組件類指數上漲1.47%。台灣加權指數上漲0.3%，股價漲幅表現優於大盤。
近5日籌碼
三大法人合計買賣超：+1,677 張
外資買賣超：+2,023 張
投信買賣超：-1,051 張
自營商買賣超：+705 張
融資增減：+627 張
融券增減：+209 張
最新相關新聞
盤中速報 - 建準(2421)股價大漲至66.0元，漲幅達7.14%
〈熱門股〉散熱產業美系外資叫好 奇鋐周漲15%創高
AI火燙、散熱系統全世界科技必備、藥局比7-11還多！
【量大強漲股整理】這件事決定外資是否回頭買超!?四月營收跟第一季季報決定台股五月走勢!
〈台股盤中〉台積電穩盤pk傳產金融賣壓 季線得而復失
更多鉅亨報導"
《台北股市》外資08日買超股：欣興、中信金、建準,時報資訊,2023-05-08T23:35:35.000Z,"【時報-台北電】台股08日加權指數收15699.57點，漲73.50點或0.47%，總成交值2171.45億元。三大法人買超82.58億元，其中外資買超58.91億元，投信、自營商分別買超13.35億元及買超10.31億元。
外資買超前十大個股，依類別分，3檔電子股、6檔金融股及1檔傳產股；依股價分，1檔百元股、1檔中價位股及8檔銅板股；買超張數方面，5檔買超上萬張，榜首為欣興(3037)，買超1萬6423張，中信金(2891)、建準(2421)名列二、三名，分別買超1萬2287張及買超1萬1539張。第四及第五名為聯電(2303)、永豐金(2890)，其他依序為元大金(2885)、國泰金(2882)、大同(2371)、彰銀(2801)及第一金(2892)。
●外資08日買超前十名：
1.欣興(3037)收161.00元，漲8.50元或5.57%，外資買超1萬6423張。
2.中信金(2891)收23.35元，漲0.30元或1.30%，外資買超1萬2287張。
3.建準(2421)收66.00元，漲4.40元或7.14%，外資買超1萬1539張。
4.聯電(2303)收50.00元，漲0.40元或0.81%，外資買超1萬1486張。
5.永豐金(2890)收17.20元，漲0.15元或0.88%，外資買超1萬527張。
6.元大金(2885)收23.00元，漲0.15元或0.66%，外資買超9896張。
7.國泰金(2882)收43.05元，漲0.40元或0.94%，外資買超8461張。
8.大同(2371)收34.35元，漲0.95元或2.84%，外資買超7754張。
9.彰銀(2801)收18.00元，跌0.05元或0.28%，外資買超6972張。
10.第一金(2892)收27.40元，漲0.30元或1.11%，外資買超6898張。
●前三大個股近五日籌碼：
1.欣興(3037)三大法人累計買超4萬7074張，其中外資買超3萬3809張、投信買超9596張、自營商買超3668張；融資減3952張、融券增1733張，券資比16.03%。
2.中信金(2891)三大法人累計買超4萬925張，其中外資買超3萬2028張、投信買超4953張、自營商買超3943張；融資減2245張、融券減166張，券資比1.56%。
3.建準(2421)三大法人累計買超1萬1994張，其中外資買超1萬3925張、投信賣超1021張、自營商賣超910張；融資增2093張、融券增580張，券資比13.32%。(編輯：財經內容中心)"
《熱門族群》建準、華孚獲利暴衝 衝擴產,時報資訊,2023-05-09T00:34:56.000Z,"【時報-台北電】散熱風扇廠建準（2421）首季稅後純益2.78億元，年增81.58％，每股稅後純益（EPS）1.11元，大勝去年同期的EPS 0.61元，表現優於市場預期；鎂鋁合金機殼廠華孚（6235）同樣繳出獲利佳績，依自結數據，第一季稅後純益2.01億元，年增1.23倍，已超過去年前三季獲利總和。
建準雖然第一季受惠產品組合優化，營業毛利為8.13億元，年增40.07％，毛利率年增7.85個百分點、至26.45％，第一季稅後純益為2.78億元，年增81.58％，EPS達1.11元，日前獲外資相繼提高評等或目標價。
美系外資認為，建準是伺服器／AI伺服器散熱頂尖供應商之一，可提供液冷風扇及液冷系統。電信與伺服器產品約占建準營收34％～35％，可望隨AI需求成長而增加；日系外資上調建準今明兩年的每股盈餘，以反映較好的毛利率及營運效率。面對散熱需求不斷增加，建準菲律賓新廠已進入量產，月產能上看130萬片，產能占比持續朝近5成邁進。
至於華孚4月營收4.89億元，雖月減0.5％，但年增83.2％，且仍為同期新高；今年前四月營收達18.22億元，年增52.94％。法人表示，華孚目前車載機構業務營收占比已約8成，其中新能源車機構需求占整體車載需求約45％，車市蓬勃將可望帶動華孚營運走升。
為因應未來新能源汽車市場需求，華孚積極擴產，中國馬鞍山一廠的二期建設已竣工，機台設備依客戶需求進廠，並規劃擴大投資馬鞍山廠產能。(新聞來源 : 工商時報一方歆婷／台北報導)"
"【公告】建準代重要子公司BVI SUCCESSFUL CENTURY CO., LTD.董事會決議發放111年度股利",中央社,2023-05-18T08:23:53.000Z,"日 期：2023年05月18日
公司名稱：建準 (2421)
主 旨：代重要子公司BVI SUCCESSFUL CENTURY CO., LTD.董事會決議發放111年度股利
發言人：李為仁
說 明：
1.董事會決議日期:112/05/18
2.發放股利種類及金額:現金股利RMB43,880,000元
3.其他應敘明事項:無"
【公告】建準受邀參加凱基證券舉辦之法人說明會,中央社,2023-05-19T07:25:25.000Z,"日 期：2023年05月19日
公司名稱：建準 (2421)
主 旨：建準受邀參加凱基證券舉辦之法人說明會
發言人：李為仁
說 明：
符合條款第四條第XX款：12
事實發生日：112/05/24
1.召開法人說明會之日期：112/05/24
2.召開法人說明會之時間：14 時 00 分
3.召開法人說明會之地點：台北市中山區明水路700號12樓B廳會議室
4.法人說明會擇要訊息：本公司受邀參加凱基證券舉辦之法人說明會
5.其他應敘明事項：無
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
