,date,stock_id,link,source,title
0,2023-01-16 08:00:00,4960,https://news.google.com/__i/rss/rd/articles/CBMi_wFodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNSU4NSVBQyVFNSU5MSU4QS0lRTglQUElQTAlRTclQkUlOEUlRTYlOUQlOTAlRTklOTklOTAlRTUlODglQjYlRTUlOTMlQTElRTUlQjclQTUlRTYlQUMlOEElRTUlODglQTklRTYlOTYlQjAlRTglODIlQTElRTglQTglQkIlRTklOEElQjclRTUlQUUlOEMlRTYlODglOTAlRTglQUUlOEElRTYlOUIlQjQlRTclOTklQkIlRTglQTglOTglRTQlQkElOEIlRTUlQUUlOUMtMDcxMzExNjM2Lmh0bWzSAYcCaHR0cHM6Ly90dy5zdG9jay55YWhvby5jb20vYW1waHRtbC9uZXdzLyVFNSU4NSVBQyVFNSU5MSU4QS0lRTglQUElQTAlRTclQkUlOEUlRTYlOUQlOTAlRTklOTklOTAlRTUlODglQjYlRTUlOTMlQTElRTUlQjclQTUlRTYlQUMlOEElRTUlODglQTklRTYlOTYlQjAlRTglODIlQTElRTglQTglQkIlRTklOEElQjclRTUlQUUlOEMlRTYlODglOTAlRTglQUUlOEElRTYlOUIlQjQlRTclOTklQkIlRTglQTglOTglRTQlQkElOEIlRTUlQUUlOUMtMDcxMzExNjM2Lmh0bWw?oc=5,Yahoo奇摩股市,【公告】誠美材限制員工權利新股註銷完成變更登記事宜 - Yahoo奇摩股市
1,2023-01-16 08:00:00,4960,https://news.google.com/__i/rss/rd/articles/CBMiPWh0dHBzOi8vd3d3LmNoaW5hdGltZXMuY29tL3JlYWx0aW1lbmV3cy8yMDIzMDExNjAwMzgzNi0yNjA0MTDSAUFodHRwczovL3d3dy5jaGluYXRpbWVzLmNvbS9hbXAvcmVhbHRpbWVuZXdzLzIwMjMwMTE2MDAzODM2LTI2MDQxMA?oc=5,中時新聞網 Chinatimes.com,《光電股》誠美材首屆校園競賽 陽明交大「智慧窗戶」奪鑽石獎 - 中時新聞網 Chinatimes.com
2,2023-01-16 08:00:00,4960,https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd2FudHJpY2guY2hpbmF0aW1lcy5jb20vbmV3cy8yMDIzMDExNjkwMDg1Ni00MjAxMDHSAT5odHRwczovL3dhbnRyaWNoLmNoaW5hdGltZXMuY29tL2FtcC9uZXdzLzIwMjMwMTE2OTAwODU2LTQyMDEwMQ?oc=5,旺得富 WantRich,《光電股》誠美材首屆校園競賽 陽明交大「智慧窗戶」奪鑽石獎 - 旺得富 WantRich
3,2023-01-16 08:00:00,4960,https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmNoaW5hdGltZXMuY29tL3JlYWx0aW1lbmV3cy8yMDIzMDExNjAwMzgzNi0yNjA0MTDSAQA?oc=5,中時新聞網 Chinatimes.com,《光電股》誠美材首屆校園競賽陽明交大「智慧窗戶」奪鑽石獎- 財經 - 中時新聞網 Chinatimes.com
4,2023-01-16 08:00:00,4960,https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmNoaW5hdGltZXMuY29tL3JlYWx0aW1lbmV3cy8yMDIzMDExNjAwMzgzNi0yNjA0MTDSAUFodHRwczovL3d3dy5jaGluYXRpbWVzLmNvbS9hbXAvcmVhbHRpbWVuZXdzLzIwMjMwMTE2MDAzODM2LTI2MDQxMA?oc=5,中時新聞網,《光電股》誠美材首屆校園競賽 陽明交大「智慧窗戶」奪鑽石獎 - 中時新聞網
5,2023-01-16 08:00:00,4960,https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmNoaW5hdGltZXMuY29tL3JlYWx0aW1lbmV3cy8yMDIzMDExNjAwMzgzNi0yNjA0MTDSAUFodHRwczovL3d3dy5jaGluYXRpbWVzLmNvbS9hbXAvcmVhbHRpbWVuZXdzLzIwMjMwMTE2MDAzODM2LTI2MDQxMA?oc=5,旺得富,《光電股》誠美材首屆校園競賽 陽明交大「智慧窗戶」奪鑽石獎 - 旺得富
6,2023-01-16 08:59:13,4960,https://news.google.com/__i/rss/rd/articles/CBMiPWh0dHBzOi8vd3d3LmNoaW5hdGltZXMuY29tL3JlYWx0aW1lbmV3cy8yMDIzMDExNjAwMzgzNi0yNjA0MTDSAUFodHRwczovL3d3dy5jaGluYXRpbWVzLmNvbS9hbXAvcmVhbHRpbWVuZXdzLzIwMjMwMTE2MDAzODM2LTI2MDQxMA?oc=5,中時新聞網 Chinatimes.com,《光電股》誠美材首屆校園競賽 陽明交大「智慧窗戶」奪鑽石獎 - 中時新聞網 Chinatimes.com
7,2023-01-16 08:59:13,4960,https://news.google.com/__i/rss/rd/articles/CBMiPWh0dHBzOi8vd3d3LmNoaW5hdGltZXMuY29tL3JlYWx0aW1lbmV3cy8yMDIzMDExNjAwMzgzNi0yNjA0MTDSAQA?oc=5,中時新聞網 Chinatimes.com,《光電股》誠美材首屆校園競賽陽明交大「智慧窗戶」奪鑽石獎- 財經 - 中時新聞網 Chinatimes.com
8,2023-01-16 09:01:14,4960,https://news.google.com/__i/rss/rd/articles/CBMiOmh0dHBzOi8vd2FudHJpY2guY2hpbmF0aW1lcy5jb20vbmV3cy8yMDIzMDExNjkwMDg1Ni00MjAxMDHSAT5odHRwczovL3dhbnRyaWNoLmNoaW5hdGltZXMuY29tL2FtcC9uZXdzLzIwMjMwMTE2OTAwODU2LTQyMDEwMQ?oc=5,旺得富 WantRich,《光電股》誠美材首屆校園競賽 陽明交大「智慧窗戶」奪鑽石獎 - 旺得富 WantRich
9,2023-01-17 07:26:48,4960,https://news.google.com/__i/rss/rd/articles/CBMi_wFodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNSU4NSVBQyVFNSU5MSU4QS0lRTglQUElQTAlRTclQkUlOEUlRTYlOUQlOTAlRTklOTklOTAlRTUlODglQjYlRTUlOTMlQTElRTUlQjclQTUlRTYlQUMlOEElRTUlODglQTklRTYlOTYlQjAlRTglODIlQTElRTglQTglQkIlRTklOEElQjclRTUlQUUlOEMlRTYlODglOTAlRTglQUUlOEElRTYlOUIlQjQlRTclOTklQkIlRTglQTglOTglRTQlQkElOEIlRTUlQUUlOUMtMDcxMzExNjM2Lmh0bWzSAYcCaHR0cHM6Ly90dy5zdG9jay55YWhvby5jb20vYW1waHRtbC9uZXdzLyVFNSU4NSVBQyVFNSU5MSU4QS0lRTglQUElQTAlRTclQkUlOEUlRTYlOUQlOTAlRTklOTklOTAlRTUlODglQjYlRTUlOTMlQTElRTUlQjclQTUlRTYlQUMlOEElRTUlODglQTklRTYlOTYlQjAlRTglODIlQTElRTglQTglQkIlRTklOEElQjclRTUlQUUlOEMlRTYlODglOTAlRTglQUUlOEElRTYlOUIlQjQlRTclOTklQkIlRTglQTglOTglRTQlQkElOEIlRTUlQUUlOUMtMDcxMzExNjM2Lmh0bWw?oc=5,Yahoo奇摩股市,【公告】誠美材限制員工權利新股註銷完成變更登記事宜 - Yahoo奇摩股市
